dataset,site_name,site_id,X,Y,ESA CCI,Chopping et al.,GEDI L4B,Liu et al.,LT-GNN,Menlove & Healey,Xu et al.
Ameriflux,Ponca City,US-Pon,-97.1333,36.7667,NA,NA,5.2984915804566155,10.20358943939209,NA,6.588860988616944,NA
Ameriflux,USSL San Joaquin Valley Pistachio High,US-PSH,-119.9247,36.2347,3.4803692817797143,0,2.838168882044983,17.680177688598633,1.4614509751995681,0,3.4721853733062744
Ameriflux,USSL San Joaquin Valley Pistachio Low,US-PSL,-120.1397,36.8276,4.543658125629234,0.04518366081394936,4.785994095299589,18.284780502319336,2.064167504685526,0,11.168570518493652
Ameriflux,PVAMU Research Farm,US-PVA,-95.9695,30.0958,NA,NA,5.586567173652428,44.83753204345703,NA,20.523551940917972,NA
Ameriflux,"Phoenix, Maryvale Neighborhood Site",US-Px1,-112.1426,33.4839,1.1207781174489344,0.18162564818157234,0.6458308403663158,10.832069396972656,0.05691275189111348,0,2.8591944350314646e-12
Ameriflux,"Phoenix, Encanto Golf Course",US-Px2,-112.098,33.4785,0.8663655032897912,3.2493605402746337,3.133851803438032,10.832069396972656,0.10350001425471862,0,3.521309716595993e-12
Ameriflux,"Phoenix, Desert botanical garden site",US-Px3,-111.9428,33.4582,1.167108317683126,0.6141533611568161,2.595598574034203,10.835653305053711,0.1359291275951974,0,0
Ameriflux,Cook Agronomy Farm - No Till,US-RC1,-117.0777,46.7837,0.8953077077314316,NA,3.2616562379962084,11.944751739501955,NA,0,18.759319305419922
Ameriflux,Cook Agronomy Farm - Conventional Till,US-RC2,-117.0807,46.7776,0.2267854411690101,NA,3.09779539990842,11.944751739501953,NA,0,18.759319305419922
Ameriflux,WSU Lind Dryland Research Station,US-RC3,-118.598,46.991,0,NA,2.1666037279606982,10.167307501787446,NA,0,0.043008220671759245
Ameriflux,Moscow Mountain on-farm site,US-RC4,-116.949,46.758,0.007968604156713454,NA,4.900709092887711,63.56997673709874,NA,34.75756454467776,24.030454635620117
Ameriflux,Moses Lake on-farm site,US-RC5,-119.248,47.01,6.3038209434689225,NA,2.069994403302208,9.874638098745464,NA,0,2.2279107570648193
Ameriflux,RockyFlats - East site,US-RFE,-105.169,39.8771,0,0,2.828990889283169,10.26521110534668,NA,26.011913299560543,66.57373046875
Ameriflux,RockyFlats - West site,US-RFW,-105.2184,39.8751,0,0.1576912848880343,3.0852034264892256,10.26521110534668,NA,26.01191329956056,82.97258758544922
Ameriflux,Arkansas Corn Farm,US-RGA,-91.6733,34.4159,NA,NA,22.246904022763413,61.99947738647462,NA,37.821182250976555,NA
