product,agb_Mg_ha,year,IGBP_Class,Longitude,Latitude,IGBP_Name,ffp_radius
chopping,-3636,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-118.3138489,37.27121033,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-115.7239209,34.55541013,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-108.0170863,36.2910043,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-109.1591727,31.47990129,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-120.580036,37.7658097,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-109.1232014,31.57882117,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-110.4811151,33.39534978,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-122.5044964,39.69924362,Evergreen Needleleaf Forest,1
chopping,0,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-116.6232014,35.85036122,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-105.1034173,34.51044655,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-107.9181655,34.83418432,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-110.1573741,32.08241326,Evergreen Needleleaf Forest,1
chopping,-846.4545288,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-123.1339928,41.35390335,Evergreen Needleleaf Forest,1
chopping,1,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-117.2077338,34.80720617,Evergreen Needleleaf Forest,1
chopping,39.51595688,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-121.506295,40.95822385,Evergreen Needleleaf Forest,1
chopping,-1072.481934,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-120.3372302,39.19565153,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-103.7814748,36.02122282,Evergreen Needleleaf Forest,1
chopping,-790.0908203,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-122.2167266,41.29095434,Evergreen Needleleaf Forest,1
chopping,NA,Average_2010-2011-2012-2013-2014-2015-2016-2017-2018-2019-2020,1,-108.3947842,35.8953248,Evergreen Needleleaf Forest,1
